english,javanese,en_length,jv_length,length_ratio
I had never been in this class before.,Sadurunge aku durung tau mlebu kelas iki.,8,7,1.1428571428571428
I'd rather stay here.,Aku luwung mapan kene.,4,4,1.0
I was just listening to the radio.,Aku nembe ngrungokake radio.,7,4,1.75
It seems I will be traveling this week.,Kadosipun kula badhe wisata minggu punika.,8,6,1.3333333333333333
I am suspicious of his death.,Aku sujana marang sedane Panjenengane.,6,5,1.2
I know him.,Aku kenal dheke.,3,3,1.0
I told him when I was leaving.,Dheweke tak kandhani kapan olehku mangkat.,7,6,1.1666666666666667
"Believe it or not, it's true.","Percaya apa ora, kuwi tenanan.",6,5,1.2
There is nothing interesting in that magazine.,Ora ana sing narik kawigaten neng kalawarta kuwi.,7,8,0.875
The female teacher opened the box and took out a ball.,Bu guru mbukak kerduse banjur ngetokake bal.,11,7,1.5714285714285714
The male teacher opened the box and took out a ball.,Pak guru mbukak kerduse banjur ngetokake bal.,11,7,1.5714285714285714
He is married.,Dheke wis rabi.,3,3,1.0
The car he was riding in was not his.,Mobil sing ditumpaki dhewekke dudu nggonane dhewekke,9,7,1.2857142857142858
He has been married for ten years.,Dheweke wis rabi lawase sepuluh taun.,7,6,1.1666666666666667
You need to understand that he is sick in bed.,Kowe kudu mangerti yen dhewekke lagi lara ning kasur,10,9,1.1111111111111112
Why don't you listen to the advice?,"Awakmu kok ora nggugu pituture, ta?",7,6,1.1666666666666667
He said he would run 200 kilometers in a day and he did it.,Dheweke kanda yen arep mlayu 200 kilometer sedina lan dheweke nglakoni.,14,11,1.2727272727272727
Does he go to school by bus?,"Dheweke menyang sekolah numpak bis, pa?",7,6,1.1666666666666667
"He can speak French, and it turns out he can also speak English.","Panjenenganipun saged abasa Perancis, tuwin pungkasanipun panjenenganipun ugi saged abasa Inggris.",13,11,1.1818181818181819
He was laughed at by his friends.,Dheke digeguyu kanca-kancane.,7,3,2.3333333333333335
It has been a year since he came here.,Wis setaun kapungkur kawit dheweke teka mrene.,9,7,1.2857142857142858
He cannot be relied upon because he often lies.,Dheweke ora bisa diandelake merga dheweke kerep goroh.,9,8,1.125
He went home.,Dheweke mulih.,3,2,1.5
He opened the window.,Dheweke mengakake cendhela.,4,3,1.3333333333333333
Please try breathing through your nose.,Cobi Panjenengan ambekan saking grana.,6,5,1.2
Where is my watch?,Endi jamku?,4,2,2.0
Who are you?,Kowe sapa?,3,2,1.5
"If you say, ""I love you,"" then I will also say that to you.","Yen sira muni, ""Aku tresna marang sira,"" mangka aku uga bakal muni ngono marang sliramu.",14,15,0.9333333333333333
It's clear he can speak English.,Cetha dheweke isa basa Inggris.,6,5,1.2
He is always right.,Dheweke mesthi bener.,4,3,1.3333333333333333
Please.,Monggo.,1,1,1.0
"One, two, three, four, five, six, seven, eight, nine, ten.","Setunggal, kalih, tiga, sekawan, gangsal, enem, pitu, wolu, sanga, sadasa.",10,10,1.0
What time is it?,Tabuh pira?,4,2,2.0
"Yes, of course.",Ya iya,3,2,1.5
There is nothing else important I want to talk about.,Ora ana perkara penting liyane sing arep tak omongke.,10,9,1.1111111111111112
That tall person is wearing black clothes.,Wong dhuwur kae klamben ireng.,7,5,1.4
What does this mean?,Menapa artosipun menika?,4,3,1.3333333333333333
"He opened the window, even though I had forbidden him.","Dheweke mbukak cendhelane, sanadyan aku wis nglarang.",10,7,1.4285714285714286
Was this fortress built to keep people from getting in or out?,Beteng iki diadegake supaya wong-wong ora bisa mlebu apa ora bisa metu?,12,12,1.0
We received a large shipment.,Awak dhewe entuk kiriman gedhe.,5,5,1.0
The fishmonger is grinding the fish.,Bakul iwake nggiling iwak.,6,4,1.5
We all live on earth.,Awakdhewe kabeh urip neng bumi.,5,5,1.0
You don't seem to know what the real situation is.,Kowe kayane ora ngerti sing tenane piye.,10,7,1.4285714285714286
What is your opinion?,Kepiye panemumu?,4,2,2.0
It seems to be okay.,Kayane ora apa-apa.,5,3,1.6666666666666667
Tom thinks Mary can't fix his watch.,Tom nganggep Mary kuwi ora isa ndandani jame.,7,8,0.875
Do you know this song?,Kowe ngerti lagu iki?,5,4,1.25
Tom wants to get into politics.,Tom pingin melu politik.,6,4,1.5
He walks fast.,Dheke mlaku banter.,3,3,1.0
He is tough.,Dheweke tatag.,3,2,1.5
Donostia is a city in the Basque country.,Donostia kuwi sawiji kutha neng nagara Baske.,8,7,1.1428571428571428
It's better for him to wait.,Benake dheweke ngenteni.,6,3,2.0
The Burj Khalifa is now the tallest building in the world.,Burj Khalifa saiki gedung paling dhuwur neng donya.,11,8,1.375
I have to go to the toilet.,Aku kudu menyang kakus.,7,4,1.75
Say goodbye to your friends.,Pamita marang kanca-kancamu.,5,3,1.6666666666666667
Yusuf walks with a limp.,Yusuf mlakune nyemper.,5,3,1.6666666666666667
We gained a lot of enjoyable experiences in higher education.,Awakdhewe entuk akeh pengalaman sing nyenengake neng pamulangan inggil.,10,9,1.1111111111111112
Ann has many friends.,Ann nduwe kanca akeh.,4,4,1.0
You are safe here.,Kowe aman ing kene,4,4,1.0
I donate to this community almost every day.,Aku nyumbang kanggo paguyuban iki ameh saben dina.,8,8,1.0
Are you there?,Panjenengan wonten ngrika boten?,3,4,0.75
Are you there?,Panjenengan wonten ngriku boten?,3,4,0.75
Nobody cares.,Ora ana siji-sijia sing perduli.,2,5,0.4
I can speak many African languages.,Aku isa akeh basa Afrika.,6,5,1.2
He doesn't have a ticket.,Dheweke ora nduwe karcis.,5,4,1.25
France and Spain share a border.,Perancis karo Spanyol kuwi wewatesan.,6,5,1.2
What does Tom want?,Apa sing dikarepake Tom?,4,4,1.0
When did it happen?,Kapan olehe kadaden?,4,3,1.3333333333333333
How do you say this?,Kepripun njenengan nyebat menika?,5,4,1.25
He lied about that.,Dheweke goroh bab kuwi.,4,4,1.0
Tom helped a lot.,Tom ngewangi akeh.,4,3,1.3333333333333333
He can't sing.,Dheweke ora bisa nembang.,3,4,0.75
"You don't want to go, do you?","Kowe ora pingin lunga, pa?",7,5,1.4
He is hiding inside the closet.,Dheweke lagi ndhelik nang jero lemari.,6,6,1.0
You can't force Tom to help Mary.,Kowe ra bisa meksa Tom nulungi Mary,7,7,1.0
I think Tom is at home sleeping.,Tak pikir Tom kuwi neng omah turu.,7,7,1.0
I assume you know where Tom went.,Tak arani kowe ngerti neng endi lungane Tom.,7,8,0.875
He dyed his hair black.,Dhewekke ngecat rambute ireng,5,4,1.25
What do you want to know?,Apa sing pingin tok reteni?,6,5,1.2
Are you going there?,Kowe arep mrana ora?,4,4,1.0
Tom is reluctant to do that.,Tom wegah nglakoni kuwi.,6,4,1.5
That alone is not enough.,Kuwi wae ora cukup.,5,4,1.25
Don't smoke.,Aja ngudud.,2,2,1.0
Do you want me to tell you?,Gelem tak kandani ora?,7,4,1.75
Something is wrong here.,Ana sing kleru neng kene.,4,5,0.8
Someone is over there.,Ana sing nang kono.,4,4,1.0
Someone is over there.,Ana sing nang kana.,4,4,1.0
I am hiding.,Aku lagi ndhelik.,3,3,1.0
He has no family.,Dheweke ora duwe kulawarga.,4,4,1.0
Why don't you find another place to live?,Ngapa kowe ora nggolek panggon liya kanggo tinggal?,8,8,1.0
I am Tom's assistant.,Kula pembantunipun Tom,4,3,1.3333333333333333
Tom knows me.,Tom kenal aku,3,3,1.0
That is not steel.,Kuwi dudu baja.,4,3,1.3333333333333333
That over there is not steel.,Kae dudu baja.,6,3,2.0
This is not steel.,Iki dudu baja.,4,3,1.3333333333333333
Has Tom left yet?,"Tom wis lunga, durung?",4,4,1.0
Come back now.,Balika saiki.,3,2,1.5
Everyone knows me.,Kabeh kenal aku,3,3,1.0
I can't go.,Aku ora isa lunga.,3,4,0.75
I'm reluctant to run.,Aku wegah mlayu.,4,3,1.3333333333333333
I am alone here.,Aku dhewekan neng kene.,4,4,1.0
Get out of bed.,Menyata saka amben.,4,3,1.3333333333333333
Where is my father?,"Rama kula wonten pundi, inggih?",4,5,0.8
Write that down.,Punika dipunserat.,3,2,1.5
His name is Tom.,Jenenge Tom.,4,2,2.0
There are fruits and fish in this market.,Wonten woh-wohan kaliyan ulam-ulaman wonten ing peken punika.,8,8,1.0
Don't be crazy.,Aja edan.,3,2,1.5
He doesn't know anything.,Dheweke ora ngerti apa-apa.,4,4,1.0
Tom must be here.,Tom mesthi nang kene.,4,4,1.0
Where is the market?,Wonten pundi pekenipun?,4,3,1.3333333333333333
I can't allow this to continue.,Ora isa tak lilakake kanggo mbanjurake iki.,6,7,0.8571428571428571
I am busy at the moment.,Aku nembe ana gawe.,6,4,1.5
I admit I am worried about that.,Tak akoni aku sumelang marang kuwi.,7,6,1.1666666666666667
I have to wake up early.,Kula kedah tangi mruput.,6,4,1.5
I heard your story with Tom.,Aku krungu ceritane kowe karo Tom.,6,6,1.0
I know you can't do that.,Aku ngerti kowe ora isa nggarap kuwi.,6,7,0.8571428571428571
I have to call Tom.,Aku kudu nelpon Tom.,5,4,1.25
I wash with that.,Aku wisuh nganggo kuwi.,4,4,1.0
I think the most amazing thing is that Tom can talk to almost anyone.,"Tak pikir ta, sing paling nggumunake yaiku jebule Tom kuwi bisa cecaturan meh karo sapa wae.",14,16,0.875
Tom can speak French almost as well as I can.,Tom bisa basa Perancis ameh padha apike kaya aku.,10,9,1.1111111111111112
I'm still trying to get used to it.,Aku isih njajal ngulinakake.,8,4,2.0
Tom and Mary were shouting at each other.,Tom karo Mary padha bengok-bengokan.,8,5,1.6
I don't know how I can help you.,Aku ora ngerti piye isaku ngewangi kowe.,8,7,1.1428571428571428
Tom is spreading butter on bread.,Tom ngolesi roti nganggo mentega,6,5,1.2
Tom works for the FBI.,Tom nyambut gawe kanggo FBI.,5,5,1.0
I will explain that again.,Kuwi bakal tak wedharake maneh.,5,5,1.0
"One, three, five, seven, and nine are odd numbers.","Siji, telu, lima, pitu lan sanga kuwi angka gajil.",9,9,1.0
Please take off your shoes and place them on the shoe rack.,Mangga sepatu dicopot lan delelehake ana ing rak sepatu.,12,9,1.3333333333333333
Tom understands what needs to be done.,Tom mudheng apa sing kudu dirampungake.,7,6,1.1666666666666667
Tom is not that bad.,Tom ora saala kuwi.,5,4,1.25
Watch out! There's a cockroach next to the fridge! Do something about it!,Awas! Ana coro neng sandhinge kulkas! Ndang diapakake!,13,8,1.625
That's what my mother would always say.,Kuwi sing mesthi diujarake simbokku.,7,5,1.4
You are better than me.,Panjenengan langkung sae katimbang kula.,5,5,1.0
I would call that presumptuous.,Olehku ngarani kuwi nyanggarunggeni.,5,4,1.25
He is eleven years old.,Umure sewelas taun.,5,3,1.6666666666666667
Is it true that modern people get less sleep?,Apa bener yen wong modern kuwi kalong wayah turune?,9,9,1.0
He will bring Tom.,Dheweke bakal nekakake Tom.,4,4,1.0
What can Tom do?,Tom isa gawe apa?,4,4,1.0
"Please use the lemonade juice, not the vinegar.","Sumangga jus limunipun dipunangge, sanes werakipun.",8,6,1.3333333333333333
"Please use the lemonade juice, not the palm wine.","Sumangga jus limunipun dipunangge, sanes cokakipun.",9,6,1.5
How much palm wine do you want me to buy for you?,Kowe kepingin daktukokake tuak sepira?,12,5,2.4
How many apples do you have?,Wonten ing panjenengan wonten pinten apel?,6,6,1.0
There is nothing more you can do for me.,Ora ana maneh sing isa tok gawe nggo aku.,9,9,1.0
I need about twenty minutes to get ready in the morning.,Aku butuh sawetara rong puluh menit kanggo tata-tata nalika isuk.,11,10,1.1
I couldn't find anything suitable.,Aku ora nemokake endi-endi sing wangun.,5,6,0.8333333333333334
Tom didn't think he was very lucky.,Tom ora kepikiran yen dheweke beja temen.,7,7,1.0
Tom told Mary that he didn't like discussing the matter with her.,Tom ngandhani Mary yen dheweke ora seneng ngrembug perkarane karo dheweke.,12,11,1.0909090909090908
Why is there nothing you want to talk about?,Kok ora ana sing arep tok omongake kenapa?,9,8,1.125
Many things have been scaring people lately.,Akeh sing meden-medeni wong akir-akir iki.,7,6,1.1666666666666667
Be careful not to hurt yourself.,Ati-ati aja nganti kowe nglarani awakmu dhewe.,6,7,0.8571428571428571
It looks like we will arrive in Boston before sunset.,Kayane awakdhewe bakal tekan Boston sakdurunge surup.,10,7,1.4285714285714286
I hear Boston is an expensive place to live.,Krungu-krungu Boston kuwi tlatah sing larang kanggo urip.,9,8,1.125
The birds are red.,Paksi-paksinipun gadhah warni abrit.,4,4,1.0
Shall I help you?,"Arep tak ewangi, pa?",4,4,1.0
Who told you to come here?,Sapa sing ngandhani kowe mrene?,6,5,1.2
They told me to wait here.,Padha ngandani aku kudu nunggu ing kene,6,7,0.8571428571428571
I was told what would happen next.,Aku dikandani ana apa maneh sabanjure.,7,6,1.1666666666666667
It feels like eating ice cream.,Rasane kaya lagi mangan es krim.,6,6,1.0
Tom said I need a nickname.,Jare Tom aku butuh paraban.,6,5,1.2
That's really good.,Kuwi apik tenan.,3,3,1.0
"Tom is not picky, is he?","Tom rak luweh-luwehan, ta?",6,4,1.5
Tom likes to dance.,Tom seneng njoged.,4,3,1.3333333333333333
Tom closed and then locked his closet door.,Tom minebake banjur ngunci lawangan lemarine.,8,6,1.3333333333333333
Why don't you ask him yourself?,Ngapa kowe ora takon dhewe nang dheweke?,6,7,0.8571428571428571
Forgetfulness and laziness are siblings.,Lalen karo kesed kuwi duluran.,5,5,1.0
It doesn't matter whether you know or not.,Ora penting nggo kowe ngerti apa ora.,8,7,1.1428571428571428
Is Tom left-handed?,"Tom punika kedhe, napa?",3,4,0.75
He has sugar.,Piyambakipun gadhah gendhis.,3,3,1.0
He owns sugar.,Piyambakipun kagungan gendhis.,3,3,1.0
"You haven't seen Tom, have you?","Kowe rak durung ndelok Tom, ta?",6,6,1.0
The bird is in the sky.,Peksinipun wonten ing awang-awang.,6,4,1.5
Tom doesn't like annoying music.,Tom ora seneng musik sing mbribeni.,5,6,0.8333333333333334
Tom offered me coffee.,Tom nawini kula wedang kopi.,4,5,0.8
I will tell him tomorrow.,Dheweke sesuk tak kandani.,5,4,1.25
I will not let him do that.,Aku ora bakal ngejarake dheweke nglakoni iku.,7,7,1.0
"I'm hungry, I haven't eaten since this morning.","Aku ngelih, durung mangan kawit mau isuk.",8,7,1.1428571428571428
Don't cut down young trees.,Aja negori wit sing isih enom.,5,6,0.8333333333333334
"The fish shouldn't be thrown away, it can be used as cat food.","Iwake dhonge aja diguwak, isa dienggo pakan kucing.",13,8,1.625
Tom's father is a policeman.,Ramanipun Tom punika pulisi.,5,4,1.25
Have you taken a shower yet?,Kowe wis adus apa durung?,6,5,1.2
I don't know either.,Aku ya ora ngerti,4,4,1.0
"I was born on March 18, 1994.",Aku dilairake tanggal 18 Maret 1994.,7,6,1.1666666666666667
I am too small.,Aku keciliken.,4,2,2.0
Drink water.,Ngombe banyu.,2,2,1.0
"Son, let's go with Father to the rice field!","Le, ayo melu Bapak menyang sawah!",9,6,1.5
"You can't run from mistakes, self-worth is in your words.","Kowe ra iso mlayu saka kesalahan, Ajining diri ana ing lathi.",10,11,0.9090909090909091
Don't remind me!,Aja ngelingake aku!,3,3,1.0
"That's not a cat, it's a dog.","Kuwi dudu kucing, kuwi asu.",7,5,1.4
"In fact, many people are infected but do not feel sick.",Malah akeh uwong sing ketularan nanging ora ngrasake lara.,11,9,1.2222222222222223
One meter is one hundred centimeters.,Sak meter iku satus sentimeter.,6,5,1.2
You are not my wife.,Kowe dudu bojoku.,5,3,1.6666666666666667
I don't like eating tomatoes.,Aku ora seneng mangan tomat.,5,5,1.0
"Tom's mother tongue is not French, but English.","Basa ibune Tom dudu basa Prancis, nanging basa Inggris.",8,9,0.8888888888888888
The girl has black hair and blue eyes.,Bocah wadon iku rambute ireng lan matane biru.,8,8,1.0
I have written many French words.,Aku wis nulis akeh tembung basa Prancis.,6,7,0.8571428571428571
I am going to the market.,Kula badhe kesah dhateng peken.,6,5,1.2
The moon looks very bright.,Rembulanipun katingal padhang sanget.,5,4,1.25
"Don't forget to bring an umbrella, because it's cloudy.","Aja lali nggawa payung, amarga mendhung.",9,6,1.5
How are you all?,Pripun kabare sederek sedaya?,4,4,1.0
This book is very good.,Buku menika sae sanget.,5,4,1.25
My cat likes to sleep under the chair.,Kucingku seneng turu ing ngisor kursi.,8,6,1.3333333333333333
"Every morning, I take a walk in the park.","Saben enjing, kula mlampah-mlampah ing taman.",9,6,1.5
Can you help me?,Panjenengan saged ngrewangi kula?,4,4,1.0
Please close the door.,Lawange tulung ditutup.,4,3,1.3333333333333333
I like to eat fried rice.,Aku seneng mangan sega goreng.,6,5,1.2
He/She is learning Javanese.,Dheweke lagi sinau basa Jawa.,4,5,0.8
Father is reading a newspaper on the terrace.,Bapak maos koran ing teras.,8,5,1.6
Mother is cooking vegetable soup in the kitchen.,Ibu masak jangan sop ing pawon.,8,6,1.3333333333333333
My house is near the school.,Omahku cedhak karo sekolahan.,6,4,1.5
That coconut tree is very tall.,Wit klapa iku dhuwur banget.,6,5,1.2
The rice fields look lush green.,Sawah-sawah katon ijo royo-royo.,6,4,1.5
The birds are chirping in the trees.,Manuk-manuk padha ngoceh ing wit-witan.,7,5,1.4
"Don't be noisy, my younger sibling is sleeping.","Aja rame-rame, adhiku lagi turu.",8,5,1.6
I enjoy listening to gamelan music.,Kula remen mirengaken musik gamelan.,6,5,1.2
Wayang kulit is a traditional Javanese art.,Wayang kulit iku kesenian tradisional Jawa.,7,6,1.1666666666666667
Borobudur temple is large and magnificent.,Candi Borobudur iku gedhe lan megah.,6,6,1.0
Mount Merapi looks majestic from a distance.,Gunung Merapi katon gagah saka kadohan.,7,6,1.1666666666666667
The water of the Serayu River is clear.,Kali Serayu banyune bening.,8,4,2.0
The children are flying kites in the field.,Bocah-bocah padha dolanan layangan ing lapangan.,8,6,1.3333333333333333
I bought a new shirt at the market.,Aku tuku klambi anyar ing pasar.,8,6,1.3333333333333333
How much is this book?,Regane pira buku iki?,5,4,1.25
I would like to order a warm tea.,Kula badhe pesen teh anget.,8,5,1.6
Please get the salt on the table.,Tulung jupukna uyah ing meja.,7,5,1.4
Where are you going?,Kowe arep lunga menyang ngendi?,4,5,0.8
I am going to watch a movie at the cinema.,Aku arep nonton film ing bioskop.,10,6,1.6666666666666667
"Tomorrow is Sunday, I have a day off.","Sesuk dina Minggu, aku prei.",8,5,1.6
He/She arrived late because of the traffic jam.,Dheweke teka telat amarga macet.,8,5,1.6
I forgot to bring my wallet.,Aku lali nggawa dompetku.,6,4,1.5
Where did the motorcycle key go missing?,Kunci motor ilang ing ngendi ya?,7,6,1.1666666666666667
Don't litter.,Aja mbuwang sampah sembarangan.,2,4,0.5
Cleaning the house is important.,Resik-resik omah iku penting.,5,4,1.25
Health is the most valuable treasure.,Kesehatan iku bandha sing paling aji.,6,6,1.0
Study diligently to be smart.,Sinau sing sregep supaya pinter.,5,5,1.0
Don't get angry easily.,Aja gampang nesu.,4,3,1.3333333333333333
Patience is a virtue.,Sabar iku subur.,4,3,1.3333333333333333
Mutual cooperation is our culture.,Gotong royong iku budaya kita.,5,5,1.0
Helping one another.,Tulung-tinulung marang sapadha-padha.,3,3,1.0
Living in harmony with neighbors.,Urip rukun karo tangga.,5,4,1.25
Don't forget your parents.,Aja lali marang wong tuwa.,4,5,0.8
I apologize if there are any mistakes.,Ngapunten menawi wonten kalepatan.,7,4,1.75
Thank you very much for your help.,Matur nuwun sanget kagem pitulunganipun.,7,5,1.4
"Good morning, have a productive day.","Sugeng enjing, sugeng makarya.",6,4,1.5
"Good afternoon, have a good rest.","Sugeng siyang, sugeng istirahat.",6,4,1.5
"Good evening, have a safe trip home.","Sugeng sonten, sugeng kondur.",7,4,1.75
"Good night, have a good sleep.","Sugeng dalu, sugeng sare.",6,4,1.5
Have you eaten yet?,Sampun dhahar dereng?,4,3,1.3333333333333333
I have already eaten.,Kula sampun nedha.,4,3,1.3333333333333333
It tastes really delicious.,Rasane enak tenan.,4,3,1.3333333333333333
I am very hungry.,Aku luwe banget.,4,3,1.3333333333333333
"I am thirsty, I want to drink.","Aku ngelak, arep ngombe.",7,4,1.75
Plain water is healthy.,Banyu putih iku sehat.,4,4,1.0
Fruits are rich in vitamins.,Woh-wohan iku akeh vitamine.,5,4,1.25
Vegetables are also important for the body.,Jangan-janganan uga penting kanggo awak.,7,5,1.4
Beef is a source of protein.,Daging sapi iku sumber protein.,6,5,1.2
Seafood tastes delicious.,Iwak laut iku enak rasane.,3,5,0.6
Don't eat too many sweet foods.,Aja kakehan mangan panganan legi.,6,5,1.2
Exercise regularly to stay healthy.,Olahraga sing teratur ben sehat.,5,5,1.0
Getting enough sleep is necessary.,Turu sing cukup iku perlu.,5,5,1.0
Don't stay up late if it's not necessary.,Aja begadang yen ora ana perlune.,8,6,1.3333333333333333
Reading books can broaden your horizons.,Maca buku bisa nambah wawasan.,6,5,1.2
Writing stories is fun.,Nulis crita iku nyenengake.,4,4,1.0
Drawing is a creative hobby.,Nggambar iku hobi sing kreatif.,5,5,1.0
Singing can relieve stress.,Nyanyi bisa ngilangi stres.,4,4,1.0
Going to the beach is fun.,Dolan menyang pantai iku asyik.,6,5,1.2
Climbing a mountain is a challenge.,Munggah gunung iku tantangan.,6,4,1.5
Watching the sunset is beautiful.,Ndeleng srengenge surup iku endah.,5,5,1.0
The sky is clear blue.,Langite biru cerah.,5,3,1.6666666666666667
The wind is blowing gently.,Angine semilir sepoi-sepoi.,5,3,1.6666666666666667
The flowers are blooming.,Kembang-kembang padha mekar.,4,3,1.3333333333333333
The scent of jasmine is fragrant.,Ambune wangi kembang mlathi.,6,4,1.5
Butterflies are flying in the garden.,Kupu-kupu mabur ing taman.,6,4,1.5
The sound of crickets at night.,Swara jangkrik ing wayah wengi.,6,5,1.2
The stars are twinkling in the sky.,Lintang-lintang padha kerlip ing langit.,7,5,1.4
I like watching the rain.,Aku seneng ndeleng udan.,5,4,1.25
The sound of the flowing river water.,Swara banyu kali sing mili.,7,5,1.4
I miss my grandparents in the village.,Aku kangen karo simbah ing desa.,7,6,1.1666666666666667
My village is beautiful and peaceful.,Desaku asri lan tentrem.,6,4,1.5
The people in the village are friendly.,Wong-wong ing desa padha ramah.,7,5,1.4
I learn a lot from experience.,Aku sinau akeh saka pengalaman.,6,5,1.2
Don't be afraid to fail.,Aja wedi gagal.,5,3,1.6666666666666667
Failure is the beginning of success.,Gagal iku awal saka kasuksesan.,6,5,1.2
Keep trying and don't give up.,Terus usaha lan aja nyerah.,6,5,1.2
Pray to God.,Donga marang Gusti Allah.,3,4,0.75
Surrender to God's will.,Pasrah marang kersane Gusti.,4,4,1.0
Life is a gift.,Urip iku anugerah.,4,3,1.3333333333333333
Be grateful for what you have.,Syukuri apa sing ana.,6,4,1.5
Don't like to compare.,Aja seneng mbanding-mbandingake.,4,3,1.3333333333333333
Everyone has their own path.,Saben uwong duwe dalane dhewe-dhewe.,5,5,1.0
The important thing is to be honest and responsible.,Sing penting jujur lan tanggung jawab.,9,6,1.5
Don't lie and don't steal.,Aja ngapusi lan aja nyolong.,5,5,1.0
Good deeds will bring good results.,Tumindak becik bakal ngasilake becik.,6,5,1.2
You reap what you sow.,Sapa sing nandur bakal ngundhuh.,5,5,1.0
"Good will be known, evil will be revealed.","Becik ketitik, ala ketara.",8,4,2.0
Slow and steady wins the race.,Alon-alon waton kelakon.,6,3,2.0
To strike using someone else's hand.,Nabok nyilih tangan.,6,3,2.0
A dwarf reaching for the stars (an impossible dream).,Cebol nggayuh lintang.,9,3,3.0
A trickle becomes a waterfall (a small thing becomes big).,Kriwikan dadi grojogan.,10,3,3.3333333333333335
"Abusing power, wealth, and knowledge.","Adigang, adigung, adiguna.",5,3,1.6666666666666667
"Don't feel that you can, but be able to feel your place.","Aja rumangsa bisa, nanging bisaa rumangsa.",12,6,2.0
Knowledge is achieved through practice.,Ngilmu iku kalakone kanthi laku.,5,5,1.0
To create a beautiful and peaceful world.,Memayu hayuning bawana.,7,3,2.3333333333333335
Life is a light/flame.,Urip iku urup.,4,3,1.3333333333333333
All forms of anger and violence are defeated by gentleness.,"Sura dira jayaningrat, lebur dening pangastuti.",10,6,1.6666666666666667
All obstacles will be cleared.,"Rawe-rawe rantas, malang-malang putung.",5,4,1.25
Work sincerely without expecting anything in return.,"Sepi ing pamrih, rame ing gawe.",7,6,1.1666666666666667
"Can bear the pain, but cannot bear the death.","Tega larane, ora tega patine.",9,5,1.8
A child's actions are the parents' responsibility.,Anak polah bapa kepradah.,7,4,1.75
To uphold the honor of one's parents.,"Mikul dhuwur, mendhem jero.",7,4,1.75
A child follows the parent's example.,Kacang ora ninggal lanjaran.,6,4,1.5
An old buffalo drinks its calf's milk (an elder learning from the young).,Kebo nusu gudel.,13,3,4.333333333333333
An elephant steps on its own child (a leader harming their people).,Gajah ngidak rapah.,12,3,4.0
A striped dog with a gold necklace (a bad person with a noble appearance).,Asu belang kalung wang.,14,4,3.5
A hollow coconut shell filled with honey (a humble person with great knowledge).,Bathok bolu isi madu.,13,4,3.25
A catfish approaches the spike (seeking danger).,Kutuk marani sunduk.,7,3,2.3333333333333335
A cucumber against a durian (the weak against the strong).,Timun mungsuh duren.,10,3,3.3333333333333335
Being too picky with sugarcane and getting a rotten one.,Milih-milih tebu oleh boleng.,10,4,2.5
